,title,publication_date
4190,The development of prosodic features and their contribution to rhythm production in simultaneous bilinguals.,2015-05-06
4191,The use of free online educational resources by Canadian emergency medicine residents and program directors.,2015-05-01
4192,"Preschool language interventions for latino dual language learners with language disorders: what, in what language, and how.",2015-04-30
4193,Dual language intervention for bilinguals at risk for language impairment.,2015-04-30
4194,Taking account of both languages in the assessment of dual language learners.,2015-04-30
4195,Speech Practice Effects on Bilingual Children's Fast Mapping Performance.,2015-04-30
4196,Phonological development in young bilinguals: clinical implications.,2015-04-30
4197,What Clinicians Need to Know about Bilingual Development.,2015-04-30
4198,Language impairment in bilingual children: from theory to practice.,2015-04-30
4199,Bilingualism and performance on two widely used developmental neuropsychological test batteries.,2015-04-30
4200,Cognitive reserve in Parkinson's disease: the effects of welsh-english bilingualism on executive function.,2015-04-30
4201,Relationship between individual differences in speech processing and cognitive functions.,2015-04-29
4202,A review of control processes and their locus in language switching.,2015-04-29
4203,Parallel language activation and inhibitory control in bimodal bilinguals.,2015-04-29
4204,Translation of the Diabetes Prevention Program to Ethnic Communities in the United States.,2015-04-26
4205,Semantic facilitation in bilingual first language acquisition.,2015-04-25
4206,Tests over time: Evaluating the currency of normative data in a complex multilingual environment.,2015-04-25
4207,Translation and validation of the Arab version of the Late-Life Function and Disability Instrument: a cross sectional study.,2015-04-24
4208,Brain Circuit for Cognitive Control is Shared by Task and Language Switching.,2015-04-23
4209,"An interactive, bilingual, culturally targeted website about living kidney donation and transplantation for hispanics: development and formative evaluation.",2015-04-22
4210,The Role of Health Literacy in Predicting Multiple Healthcare Outcomes Among Hispanics in a Nationally Representative Sample: A Comparative Analysis by English Proficiency Levels.,2015-04-22
4211,Processing advantage for emotional words in bilingual speakers.,2015-04-22
4212,The effect of foreign language in judgments of risk and benefit: The role of affect.,2015-04-22
4213,Utility of a Language Screening Measure for Predicting Risk for Language Impairment in Bilinguals.,2015-04-18
4214,"Rapid naming, phonological memory and reading fluency in Brazilian bilingual students.",2015-04-18
4215,"Arabic translation, adaptation and modification of the Dialysis Symptom Index for chronic kidney disease stages four and five.",2015-04-18
4216,Erratum on: Emotionality differences between a native and foreign language: theoretical implications.,2015-04-18
4217,English word frequency and recognition in bilinguals: Inter-corpus comparison and error analysis.,2015-04-17
4218,The Language and Literacy Development of Young Dual Language Learners: A Critical Review.,2015-04-17
4219,"Second language feedback abolishes the ""hot hand"" effect during even-probability gambling.",2015-04-17
4220,Frequency effects in monolingual and bilingual natural reading.,2015-04-17
4221,Assessing physician-parent communication during emergency medical procedures in children: an observational study in a low-literacy Latino patient population.,2015-04-16
4222,Oscillatory brain activity reveals linguistic prints in the quantity code.,2015-04-16
4223,"She called that thing a mido, but should you call it a mido too? Linguistic experience influences infants' expectations of conventionality.",2015-04-15
4224,Influence of Language of Administration on ImPACT Performance by Bilingual Spanish-English College Students.,2015-04-15
4225,Brain functional plasticity associated with the emergence of expertise in extreme language control.,2015-04-15
4226,Comparison of Socio-Demographic Characteristics of a Computer Based Breastfeeding Educational Intervention Among Rural Hispanic Women.,2015-04-15
4227,Language control in bilinguals: Intention to speak vs. execution of speech.,2015-04-14
4228,Limited English proficient Hmong- and Spanish-speaking patients' perceptions of the quality of interpreter services.,2015-04-14
4229,"Maternal Depressive Symptomatology, Social Support, and Language Development of Bilingual Preschoolers From Low-Income Households.",2015-04-13
4230,Translation and cross-cultural adaptation of the Brazilian Portuguese version of the driving anger scale (DAS): long form and short form.,2015-04-11
4231,Instrument of self-perception and knowledge of dental erosion: cross-cultural adaptation to the Brazilian population.,2015-04-11
4232,Processing changes when listening to foreign-accented speech.,2015-04-11
4233,"Bilingualism alters brain functional connectivity between ""control"" regions and ""language"" regions: Evidence from bimodal bilinguals.",2015-04-11
4234,Number word structure in first and second language influences arithmetic skills.,2015-04-09
4235,Increasing Melanoma Screening Among Hispanic/Latino Americans: A Community-Based Educational Intervention.,2015-04-07
4236,School performance and wellbeing of children with CI in different communicative-educational environments.,2015-04-05
4237,"Anguish, Yearning, and Identity: Toward a Better Understanding of the Pregnant Hispanic Woman's Prenatal Care Experience.",2015-04-04
4238,Language Control in Bilinguals: Monitoring and Response Selection.,2015-04-04
4239,Processing deficits for familiar and novel faces in patients with left posterior fusiform lesions.,2015-04-04
4240,Sensitivity to verb bias in American sign language-English bilinguals.,2015-04-03
4241,Interpreter-mediated dentistry.,2015-04-02
4242,Cross-cultural validation of a behavioral screener for executive functions: Guidelines for clinical use among Colombian children with and without ADHD.,2015-03-31
4243,The relation between language and arithmetic in bilinguals: insights from different stages of language acquisition.,2015-03-31
4244,Bilingualism as a Model for Multitasking.,2015-03-31
4245,Stroop effects from newly learned color words: effects of memory consolidation and episodic context.,2015-03-31
4246,Bridging barriers to health promotion: a feasibility pilot study of the 'Promoting Aging Migrants' Capabilities study'.,2015-03-27
4247,Proficiency and Linguistic Complexity Influence Speech Motor Control and Performance in Spanish Language Learners.,2015-03-27
4248,Validity and reliability of bilingual English-Arabic version of Schutte self report emotional intelligence scale in an undergraduate Arab medical student sample.,2015-03-25
4249,Does bilingualism delay dementia?,2015-03-25
4250,On the temporal dynamics of sign production: An ERP study in Catalan Sign Language (LSC).,2015-03-25
4251,"Pediatric cochlear implantation: role of language, income, and ethnicity.",2015-03-22
4252,Differences in neurocognitive aspects of dyslexia in Dutch and immigrant 6-7- and 8-9-years old children.,2015-03-20
4253,The embodiment of emotional words in a second language: An eye-movement study.,2015-03-20
4254,Disagreement between therapist raters and independent evaluators in a controlled clinical trial of interpersonal psychotherapy for depressed pregnant women.,2015-03-19
4255,Neural activation in speech production and reading aloud in native and non-native languages.,2015-03-18
4256,Unintentional activation of translation equivalents in bilinguals leads to attention capture in a cross-modal visual task.,2015-03-17
4257,More than accuracy: Nonverbal dialects modulate the time course of vocal emotion recognition across cultures.,2015-03-17
4258,Balanced bilingualism and early age of second language acquisition as the underlying mechanisms of a bilingual executive control advantage: why variations in bilingual experiences matter.,2015-03-15
4259,Bilingualism modulates infants' selective attention to the mouth of a talking face.,2015-03-15
4260,Language and culture modulate online semantic processing.,2015-03-15
4261,Improving proactive control with training on language switching in bilinguals.,2015-03-11
4262,Cross-linguistic interactions influence reading development in bilinguals: a comparison between early balanced French-Basque and Spanish-Basque bilingual children.,2015-03-11
4263,"Emerging evidence contradicts the hypothesis that bilingualism delays dementia onset. A Commentary on ""age of dementia diagnosis in community dwelling bilingual and monolingual Hispanic Americans"" by Lawton et al., 2015.",2015-03-11
4264,"""¿Cómo estas?"" ""I'm good."" Conversational code-switching is related to profiles of expressive and receptive proficiency in Spanish-English bilingual toddlers.",2015-03-10
4265,Academic discourse: Dissociating standardized and conversational measures of language proficiency in bilingual kindergarteners.,2015-03-10
4266,"Two languages, two minds: flexible cognitive processing driven by language of operation.",2015-03-10
4267,The influence of orthographic depth on reading networks in simultaneous biliterate children.,2015-03-10
4268,"Bilinguals at the ""cocktail party"": dissociable neural activity in auditory-linguistic brain regions reveals neurobiological basis for nonnative listeners' speech-in-noise recognition deficits.",2015-03-10
4269,Cohort Profile: The Mexican American Mano a Mano Cohort.,2015-03-10
4270,Latino community-based participatory research studies: a model for conducting bilingual translations.,2015-03-06
4271,Syntactic mixing across generations in an environment of community-wide bilingualism.,2015-03-06
4272,Incorporating Cultural Perspectives into Diabetes Self-Management Programs for East Asian Immigrants: A Mixed-Study Review.,2015-03-06
4273,Compliance with smoke-free policies in korean bars and restaurants in california: a descriptive analysis.,2015-03-05
4274,Emotion Word Processing: Effects of Word Type and Valence in Spanish-English Bilinguals.,2015-03-04
4275,Bilingualism: research and policy.,2015-03-04
4276,"Growth in literacy, cognition, and working memory in English language learners.",2015-03-04
4277,Serial-position effects on a free-recall task in bilinguals.,2015-03-03
4278,Uniqueness and Overlap: Characteristics and Longitudinal Correlates of Native Chinese Children's Writing in English as a Foreign Language.,2015-03-03
4279,Neural correlates of single word reading in bilingual children and adults.,2015-03-03
4280,The effect of lifelong bilingualism on regional grey and white matter volume.,2015-03-01
4281,Perspectives on enhancing physical activity and diet for health promotion among at-risk urban UK South Asian communities: a qualitative study.,2015-03-01
4282,Word knowledge in the crowd: Measuring vocabulary size and word prevalence in a massive online experiment.,2015-02-26
4283,Evaluating a bilingual patient navigation program for uninsured women with abnormal screening tests for breast and cervical cancer: implications for future navigator research.,2015-02-26
4284,White-matter development is different in bilingual and monolingual children: a longitudinal DTI study.,2015-02-24
4285,EEG decoding of spoken words in bilingual listeners: from words to language invariant semantic-conceptual representations.,2015-02-24
4286,"[Multilingualism and child psychiatry: on differential diagnoses of language disorder, specific learning disorder, and selective mutism].",2015-02-24
4287,Does verbatim sentence recall underestimate the language competence of near-native speakers?,2015-02-24
4288,Brain bases of language selection: MEG evidence from Arabic-English bilingual language production.,2015-02-24
4289,Cross-language activation of morphological relatives in cognates: the role of orthographic overlap and task-related processing.,2015-02-24
4290,Neuropsychological profiles and verbal abilities in lifelong bilinguals with mild cognitive impairment and Alzheimer's disease.,2015-02-24
4291,The experience of Latino parents of hospitalized children during family-centered rounds.,2015-02-18
4292,Verbal and nonverbal cognitive control in bilinguals and interpreters.,2015-02-18
4293,Regional variation in HIV clinical trials participation in the United States.,2015-02-18
4294,The role of executive functions in bilingual children with reading difficulties.,2015-02-18
4295,Comparing language outcomes in monolingual and bilingual stroke patients.,2015-02-18
4296,Communicative Development in Bilingually Exposed Chinese Children With Autism Spectrum Disorders.,2015-02-14
4297,Language exposure in bilingual toddlers: performance on nonword repetition and lexical tasks.,2015-02-13
4298,Native language influence on the distributive effect in producing second language subject-verb agreement.,2015-02-12
4299,"Literacy and linguistic development in bilingual deaf children: implications of the ""and"" for phonological processing.",2015-02-12
4300,A sentence to remember: instructed language switching in sentence production.,2015-02-11
4301,Do bilinguals show neural differences with monolinguals when processing their native language?,2015-02-07
4302,Context affects L1 but not L2 during bilingual word recognition: an MEG study.,2015-02-07
4303,Transfer and contact-induced variation in child Basque.,2015-02-06
4304,"Apraxia, autism, attention-deficit hyperactivity disorder: do we have a new spectrum?",2015-02-05
4305,Evaluation of a telenovela designed to improve knowledge and behavioral intentions among Hispanic patients with end-stage renal disease in Southern California.,2015-02-05
4306,CHARGE syndrome and Cochlear implantation: difficulties and outcomes in the paediatric population.,2015-02-05
4307,Promotoras as data collectors in a large study of physical activity in parks.,2015-02-05
4308,Acceptability and non-compliance in a family-led weight-management programme for obese Pacific children.,2015-02-05
4309,Protect your heart: a culture-specific multimedia cardiovascular health education program.,2015-02-04
4310,Outreach to diversify clinical trial participation: A randomized recruitment study.,2015-02-04
4311,On the importance of being bilingual: word stress processing in a context of segmental variability.,2015-02-04
4312,"Social determinants of health in the Mixtec and Zapotec community in Ventura County, California.",2015-02-04
4313,The commonality between the perceptual adaptation mechanisms involved in processing faces and nonface objects of expertise.,2015-02-03
4314,Proficiency and Control in Verbal Fluency Performance across the Lifespan for Monolinguals and Bilinguals.,2015-02-03
4315,Interference Control In Elderly Bilinguals: Appearances Can Be Misleading.,2015-02-03
4316,Bilingualism provides a neural reserve for aging populations.,2015-02-01
4317,Listening to the brainstem: musicianship enhances intelligibility of subcortical representations for speech.,2015-01-30
4318,Differences in how monolingual and bilingual children learn second labels for familiar objects.,2015-01-30
4319,"Acceptance noise level: effects of the speech signal, babble, and listener language.",2015-01-30
4320,Interface strategies in monolingual and end-state L2 Spanish grammars are not that different.,2015-01-30
4321,Tip-of-the-tongue in a second language: the effects of brief first-language exposure and long-term use.,2015-01-28
4322,Bilingual memory representations in less fluent Chinese-English bilinguals: an event-related potential study.,2015-01-27
4323,Productive Vocabulary among Three Groups of Bilingual American Children: Comparison and Prediction.,2015-01-27
4324,A Russian adaptation of the tinnitus handicap inventory.,2015-01-27
4325,Effects of script similarity on bilingual advantages in executive control are likely to be negligible or null.,2015-01-23
4326,Culturally tailored diabetes prevention in the workplace: focus group interviews with Hispanic employees.,2015-01-22
4327,The modulatory role of second language proficiency on performance monitoring: evidence from a saccadic countermanding task in high and low proficient bilinguals.,2015-01-21
4328,Age of dementia diagnosis in community dwelling bilingual and monolingual Hispanic Americans.,2015-01-20
4329,Complex brain network properties in late L2 learners and native speakers.,2015-01-20
4330,Long-term experience with Chinese language shapes the fusiform asymmetry of English reading.,2015-01-20
4331,"The impact of late, non-balanced bilingualism on cognitive performance.",2015-01-18
4332,Patient navigation based on predictive modeling decreases no-show rates in cancer care.,2015-01-15
4333,The effects of bilingualism on the white matter structure of the brain.,2015-01-15
4334,"Discriminant accuracy of a semantics measure with Latino English-speaking, Spanish-speaking, and English-Spanish bilingual children.",2015-01-13
4335,Attentional processes in low-socioeconomic status bilingual children: are they modulated by the amount of bilingual experience?,2015-01-13
4336,An event-related potential study of visual rhyming effects in native and non-native English speakers.,2015-01-09
4337,New resources for audiologists working with Hispanic patients: Spanish translations and cultural training.,2015-01-09
4338,Understanding multilingualism and its implications.,2015-01-08
4339,Does bilingual experience affect early visual perceptual development?,2015-01-08
4340,Morphological priming during language switching: an ERP study.,2015-01-08
4341,Bilingual exposure influences infant VOT perception.,2015-01-03
4342,Prevalence and Predictors of Depression in Korean American Elderly: Findings from the Memory and Aging Study of Koreans (MASK).,2015-01-03
4343,A De-identification method for bilingual clinical texts of various note types.,2015-01-02
4344,"[Put sound, but the sense, the multilinguisms].",2015-01-01
4345,‘Shift’ ‘n ‘control’: The computer as a third interactant in Spanish-language medical consultations.,2015-01-01
4346,"Bilingualism, Mind, and Brain.",2015-01-01
4347,Group treatment for survivors of torture and severe violence: A literature review.,2015-01-01
4348,Language dominance and inhibition abilities in bilingual older adults.,2015-01-01
4349,"Relationship between body mass index and family functioning, family communication, family type and parenting style among African migrant parents and children in Victoria, Australia: a parent-child dyad study.",2015-01-01
4350,HOW TO ACHIEVE AND MAINTAIN NOTE 6: POSTGRADUATE PROGRAM IN TRANSLATIONAL SURGERY - UNIFESP.,2015-01-01
4351,"Using Photovoice, Latina Transgender Women Identify Priorities in a New Immigrant-Destination State.",2015-01-01
4352,PHAST: A Collaborative Machine Translation and Post-Editing Tool for Public Health.,2015-01-01
4353,Respect and Autonomy in Children's Observation and Participation in Adults' Activities.,2015-01-01
4354,"How ""proficient"" is proficient? Bilingual listeners' recognition of English words in noise.",2015-01-01
4355,Bilingualism changes children's beliefs about what is innate.,2014-12-30
4356,Bilinguals implicitly name objects in both their languages: an ERP study.,2014-12-30
4357,Bilingual education searching for promising didactic proposals.,2014-12-30
4358,Computed tomography screening for lung cancer: preliminary results in a diverse urban population.,2014-12-24
4359,"The effect of age of acquisition, socioeducational status, and proficiency on the neural processing of second language speech sounds.",2014-12-22
4360,Second-language experience modulates eye movements during first- and second-language sentence reading: evidence from a gaze-contingent moving window paradigm.,2014-12-22
4361,"Cognitive control, cognitive reserve, and memory in the aging bilingual brain.",2014-12-19
4362,"Specificity of the bilingual advantage for memory: examining cued recall, generalization, and working memory in monolingual, bilingual, and trilingual toddlers.",2014-12-19
4363,On extending experimental findings to clinical application: Never too late? An advantage on tests of auditory attention extends to late bilinguals.,2014-12-19
4364,The development of a bilingual interactive video to improve physical activity and healthful eating in a head start population.,2014-12-18
4365,Parental decision making in male circumcision.,2014-12-17
4366,"""Bioinformatics: introduction and methods,"" a bilingual Massive Open Online Course (MOOC) as a new example for global bioinformatics education.",2014-12-17
4367,Lifelong bilingualism and neural reserve against Alzheimer's disease: a review of findings and potential mechanisms.,2014-12-17
4368,Environmental script affects lateral asymmetry of word recognition: A study of French-Hebrew bilinguals tested in Israel and in France.,2014-12-17
4369,The development of co-speech gesture and its semantic integration with speech in 6- to 12-year-old children with autism spectrum disorders.,2014-12-10
4370,"Barriers to calling 911 and learning and performing cardiopulmonary resuscitation for residents of primarily Latino, high-risk neighborhoods in Denver, Colorado.",2014-12-08
4371,A culturally and linguistically responsive vocabulary approach for young Latino dual language learners.,2014-12-07
4372,Second language learners and the variable speech signal.,2014-12-06
4373,HBV Outreach Programs Significantly Increase Knowledge and Vaccination Rates Among Asian Pacific Islanders.,2014-12-06
4374,Cognitive advantage in bilingualism: an example of publication bias?,2014-12-06
4375,"Publication of original bilingual articles: greater dissemination, greater scientific impact.",2014-12-06
4376,Social neuroscience and theory of mind.,2014-12-05
4377,Arabic versions of the sleep timing questionnaire and the composite scale of morningness.,2014-12-04
4378,Differential recruitment of executive control regions during phonological competition in monolinguals and bilinguals.,2014-12-03
4379,Early stage second-language learning improves executive control: evidence from ERP.,2014-12-03
4380,The priming effect of translation equivalents across languages for concrete and abstract words.,2014-12-03
4381,Language exposure induced neuroplasticity in the bilingual brain: a follow-up fMRI study.,2014-12-03
4382,Who can communicate with whom? Language experience affects infants' evaluation of others as monolingual or multilingual.,2014-12-03
4383,Six years of bilingual edition for The Annals of PRM are coming to an end.,2014-12-03
4384,Bilingualism modulates dual mechanisms of cognitive control: Evidence from ERPs.,2014-12-03
4385,The role of executive control in bilingual language production: A study with Parkinson's disease individuals.,2014-12-03
4386,"Language and task switching in the bilingual brain: Bilinguals are staying, not switching, experts.",2014-12-03
4387,Research challenges and lessons learned from conducting community-based research with the Hmong community.,2014-12-03
4388,Addressing language barriers in client-centered health promotion: lessons learned and promising practices from Texas WIC.,2014-12-03
4389,Brain network activity in monolingual and bilingual older adults.,2014-12-03
4390,Neural processing of speech in children is influenced by extent of bilingual experience.,2014-12-03
4391,Arithmetic memory networks established in childhood are changed by experience in adulthood.,2014-12-03
4392,Language Experience Changes Language and Cognitive Ability.,2014-12-02
4393,English-only treatment of bilingual speakers who stutter: Generalization of treatment effects from English to Mandarin.,2014-11-29
4394,Word reading and translation in bilinguals: the impact of formal and informal translation expertise.,2014-11-28
4395,"Feasibility and acceptability of a novel, computerized screening and brief intervention (SBI) for alcohol and sweetened beverage use in pregnancy.",2014-11-26
4396,Object familiarity and acculturation do not explain performance difference between Spanish-English bilinguals and English monolinguals on the Boston Naming Test.,2014-11-26
4397,The acquisition of allophones among bilingual Spanish-English and French-English 3-year-old children.,2014-11-26
4398,"Bilingualism, executive control, and age at diagnosis among people with early-stage Alzheimer's disease in Wales.",2014-11-26
4399,An interventional model to develop health professionals in West Africa.,2014-11-25
4400,Bilingualism: A Pearl to Overcome Certain Perils of Cochlear Implants.,2014-11-25
4401,Cognitive control and word recognition speed influence the Stroop effect in bilinguals.,2014-11-25
4402,Shared abstract representation of linguistic structure in bilingual sentence comprehension.,2014-11-25
4403,Longitudinal effects of group music instruction on literacy skills in low-income children.,2014-11-20
4404,Development of Rapid Automatized Naming (RAN) in Simultaneous Kannada-English Biliterate Children.,2014-11-20
4405,Lexical profiles of bilingual children with primary language impairment.,2014-11-19
4406,Mapping the unconscious maintenance of a lost first language.,2014-11-19
4407,Monolingual and bilingual preschoolers' use of gestures to interpret ambiguous pronouns.,2014-11-19
4408,The facilitation effect and language thresholds.,2014-11-18
4409,The effect of script similarity on executive control in bilinguals.,2014-11-18
4410,English vowel identification in quiet and noise: effects of listeners' native language background.,2014-11-18
4411,Validity and reliability of an Arabic version of the modified dental anxiety scale in Saudi adults.,2014-11-17
4412,[Bilingualism in the Revue des maladies respiratoires: a new step but not a revolution].,2014-11-14
4413,"Socio-economic and demographic factors related to HIV status in urban informal settlements in the Eastern Cape, South Africa.",2014-11-13
4414,Reaction time in Stroop test in Nepalese Medical Students.,2014-11-12
4415,Native-likeness in second language lexical categorization reflects individual language history and linguistic community norms.,2014-11-12
4416,Phonological processing dynamics in bilingual word naming.,2014-11-11
4417,Understanding the experiences of Mandarin-speaking patients diagnosed with life-threatening cancer in Australia.,2014-11-11
4418,Monolingual or bilingual intervention for primary language impairment? A randomized control trial.,2014-11-09
4419,Cue strength in second-language processing: an eye-tracking study.,2014-11-08
4420,Assessing language dominance in Mandarin-English bilinguals: Convergence and divergence between subjective and objective measures.,2014-11-08
4421,"Nonbeneficial treatment Canada: definitions, causes, and potential solutions from the perspective of healthcare practitioners*.",2014-11-08
4422,New resources to address antibiotic resistance are just a click away.,2014-11-07
4423,Guidelines for conducting rigorous health care psychosocial cross-cultural/language qualitative research.,2014-11-07
4424,The perception of the French /s/-/ʃ/ contrast in early Creole-French bilinguals.,2014-11-07
4425,Bilingualism affects audiovisual phoneme identification.,2014-11-07
4426,Appropriate use of medical interpreters.,2014-11-05
4427,Language choice in bimodal bilingual development.,2014-11-05
4428,A randomized trial on screening for social determinants of health: the iScreen study.,2014-11-05
4429,Bilingual proficiency and cognitive reserve in Persian-English bilingual older adults.,2014-11-05
4430,Look at the gato! Code-switching in speech to toddlers.,2014-11-05
4431,Learning and processing of nonverbal symbolic information in bilinguals and monolinguals.,2014-11-02
4432,A Bilingual-Monolingual Comparison of Young Children's Vocabulary Size: Evidence from Comprehension and Production.,2014-11-01
4433,Effectiveness of a community research registry to recruit minority and underserved adults for health research.,2014-10-30
4434,Bilingual neurons release glutamate and GABA.,2014-10-29
4435,L2 speakers decompose morphologically complex verbs: fMRI evidence from priming of transparent derived verbs.,2014-10-28
4436,Older Sibling Influences on the Language Environment and Language Development of Toddlers in Bilingual Homes.,2014-10-28
4437,Electrophysiological evidence for domain-general inhibitory control during bilingual language switching.,2014-10-25
4438,"Not just ""getting by"": factors influencing providers' choice of interpreters.",2014-10-24
4439,[Exploration of bilingual teaching models for Chinese medicine on Internet].,2014-10-23
4440,Facilitative effect of cognate words vanishes when reducing the orthographic overlap: The role of stimuli list composition.,2014-10-21
4441,Age of second language acquisition affects nonverbal conflict processing in children: an fMRI study.,2014-10-21
4442,"Child healthcare nurses believe that bilingual children show slower language development, simplify screening procedures and delay referrals.",2014-10-21
4443,Structural brain changes related to bilingualism: does immersion make a difference?,2014-10-18
4444,Variations on the bilingual advantage? Links of Chinese and English proficiency to Chinese American children's self-regulation.,2014-10-18
4445,Novel word retention in bilingual and monolingual speakers.,2014-10-18
4446,"What's easier: doing what you want, or being told what to do? Cued versus voluntary language and task switching.",2014-10-15
4447,The relationship between linguistic and non-linguistic cognitive control skills in bilingual children from low socio-economic backgrounds.,2014-10-14
4448,"Two languages in mind: Bilingualism as a tool to investigate language, cognition, and the brain.",2014-10-14
4449,A pregnancy lifestyle intervention to prevent gestational diabetes risk factors in overweight Hispanic women: a feasibility randomized controlled trial.,2014-10-14
4450,Can Harry Potter still put a spell on us in a second language? An fMRI study on reading emotion-laden literature in late bilinguals.,2014-10-13
4451,Influence of Second Language Proficiency and Syntactic Structure Similarities on the Sensitivity and Processing of English Passive Sentence in Late Chinese-English Bilinguists: An ERP Study.,2014-10-12
4452,Emotionality differences between a native and foreign language: theoretical implications.,2014-10-09
4453,Prevalence of depressive and anxiety disorders and validation of the Hospital Anxiety and Depression Scale as a screening tool in axial spondyloarthritis patients.,2014-10-09
4454,Feature binding and the processing of global-local shapes in bilingual and monolingual children.,2014-10-09
4455,LDA-Based Unified Topic Modeling for Similar TV User Grouping and TV Program Recommendation.,2014-10-08
4456,"Musical training, bilingualism, and executive function: a closer look at task switching and dual-task performance.",2014-10-08
4457,Differential Language Functioning of Monolinguals and Bilinguals on Positive-Negative Emotional Expression.,2014-10-08
4458,Cross-cultural evidence for multimodal motherese: Asian Indian mothers' adaptive use of synchronous words and gestures.,2014-10-07
4459,The Cognitive Development of Young Dual Language Learners: A Critical Review.,2014-10-07
4460,Bilingualism as a potential strategy to improve executive function in preterm infants: a review.,2014-10-05
4461,"Cross-cultural translation, adaptation, and psychometric testing of the Roland-Morris disability questionnaire into modern standard Arabic.",2014-10-02
4462,Further international adaptation and validation of the Rheumatoid Arthritis Quality of Life (RAQoL) questionnaire.,2014-10-02
4463,Executive function predicts artificial language learning.,2014-10-01
4464,Bilinguals Show Weaker Lexical Access During Spoken Sentence Comprehension.,2014-10-01
4465,Neural basis of language switching in the brain: fMRI evidence from Korean-Chinese early bilinguals.,2014-09-30
4466,No evidence for reduced Simon cost in elderly bilinguals and bidialectals.,2014-09-30
4467,Tests of a Dual-systems Model of Speech Category Learning.,2014-09-30
4468,Dual Language Development of Latino Children: Effect of Instructional Program Type and the Home and School Language Environment.,2014-09-30
4469,Collaborative health literate depression care among predominantly Hispanic patients with coronary heart disease in safety net care.,2014-09-30
4470,Lived experiences relating to pediatric surgery: the case of Mexican American mothers in a southern US border city.,2014-09-28
4471,Pervasive benefits of preparation in language switching.,2014-09-27
4472,"Bilingual advantages in executive functioning: problems in convergent validity, discriminant validity, and the identification of the theoretical constructs.",2014-09-25
4473,Effects of bilingualism and aging on executive function and working memory.,2014-09-23
4474,Apoyo con Cariño: a pilot randomized controlled trial of a patient navigator intervention to improve palliative care outcomes for Latinos with serious illness.,2014-09-23
4475,A psychometric assessment of the psychological and social well-being indicators in the PINE study.,2014-09-23
4476,Deaf parents of cochlear-implanted children: beliefs on bimodal bilingualism.,2014-09-23
4477,The acoustic properties of bilingual infant-directed speech.,2014-09-23
4478,"The relationship between language proficiency and attentional control in Cantonese-English bilingual children: evidence from Simon, Simon switching, and working memory tasks.",2014-09-19
4479,Statistical learning of a tonal language: the influence of bilingualism and previous linguistic experience.,2014-09-19
4480,Neural correlates reveal sub-lexical orthography and phonology during reading aloud: a review.,2014-09-19
4481,Student centered curricular elements are associated with a healthier educational environment and lower depressive symptoms in medical students.,2014-09-18
4482,Simultaneous development of 2 oral languages by child cochlear implant recipients.,2014-09-17
4483,Vowel development in an emergent Mandarin-English bilingual child: a longitudinal study.,2014-09-16
4484,Bilingual flipcharts help improve oral health-related knowledge and self-efficacy of Korean-American caregivers of preschoolers.,2014-09-16
4485,Similarities and differences in brain activation and functional connectivity in first and second language reading: evidence from Chinese learners of English.,2014-09-15
4486,Validity and reliability of the Persian version of Behçet's disease quality-of-life (BD-QoL) questionnaire: a cross-cultural adaptation.,2014-09-14
4487,The disfluent speech of bilingual spanish-english children: considerations for differential diagnosis of stuttering.,2014-09-13
4488,Specific language impairment in language-minority children from low-income families.,2014-09-12
4489,The Babylonian benefit: Neurological research shows that being bilingual enhances mental performance and may protect from Alzheimer's disease.,2014-09-11
4490,Heat-related illness among Oregon farmworkers.,2014-09-10
4491,Words in the bilingual brain: an fNIRS brain imaging investigation of lexical processing in sign-speech bimodal bilinguals.,2014-09-06
4492,Attitudes and perceptions of the general Malaysian public regarding family presence during resuscitation.,2014-09-06
4493,Pilot assessment and survey of Syrian refugees' psychological stress and openness to referral for telepsychiatry (PASSPORT Study).,2014-09-05
4494,Pelvic organ prolapse: a disease of silence and shame.,2014-09-05
4495,Latino caregiver experiences with asthma health communication.,2014-09-04
4496,Translation and validation of Portuguese of a questionnaire for evaluation of psychosomatic symptoms in adults with atopic dermatitis.,2014-09-04
4497,Language dominance assessment in a bilingual population: validity of fMRI in the second language.,2014-09-04
4498,Bilingual cognitive control in language switching: an fMRI study of English-Chinese late bilinguals.,2014-09-03
4499,"A mixed methods study of food safety knowledge, practices and beliefs in Hispanic families with young children.",2014-09-03
4500,Exploring the Cause of English Pronoun Gender Errors by Chinese Learners of English: Evidence from the Self-paced Reading Paradigm.,2014-09-03
4501,Cortical motor systems are involved in second-language comprehension: evidence from rapid mu-rhythm desynchronisation.,2014-09-02
4502,Validation of the Greek translation of the Nursing Dimensions Inventory questionnaire (NDI-35).,2014-08-30
4503,Phonological and orthographic cues enhance the processing of inflectional morphology. ERP evidence from L1 and L2 French.,2014-08-29
4504,The benefits of being bilingual: working memory in bilingual Turkish-Dutch children.,2014-08-28
4505,Talker familiarity and spoken word recognition in school-age children.,2014-08-28
4506,Bilingualism trains specific brain circuits involved in flexible rule selection and application.,2014-08-27
4507,[A 10-year retrospective--from the achievement of ISO 15189 accreditation toward the next stage--chairman's introductory remarks].,2014-08-26
4508,In-context language control with production tasks in bilinguals: an fMRI study.,2014-08-26
4509,Development of neural systems for reading in the monolingual and bilingual brain: new insights from functional near infrared spectroscopy neuroimaging.,2014-08-22
4510,Bilingual children with primary language impairment: 3 months after treatment.,2014-08-20
